date,name,category,Average Viewers,Hours Watched,Peak Concurrent Viewers ,Average Concurrent Streams
1/1/21,Among Us,Social Deduction,42000,27.1M,269K,895
12/1/20,Among Us,Social Deduction,67700,50.3M,499K,1.2K
11/1/20,Among Us,Social Deduction,107000,77.0M,774K,1.8K
10/1/20,Among Us,Social Deduction,3000,83.4M,9.1K,151K
9/1/20,Among Us,Social Deduction,3500,147M,12.4K,204K
8/1/20,Among Us,Social Deduction,499,30.6M,3.0K,41.1K
7/1/20,Among Us,Social Deduction,54,4.16M,221,5.6K
6/1/20,Among Us,Social Deduction,14,120K,61,171
5/1/20,Among Us,Social Deduction,13,322K,42,451
4/1/20,Among Us,Social Deduction,8,106K,36,160
3/1/20,Among Us,Social Deduction,5,73.8K,22,118
2/1/20,Among Us,Social Deduction,4,45.9K,17,84
1/1/20,Among Us,Social Deduction,2,33.9K,11,78
12/1/19,Among Us,Social Deduction,1,8.2K,5,29
11/1/19,Among Us,Social Deduction,1,6.6K,7,24
10/1/19,Among Us,Social Deduction,2,6.4K,8,15
9/1/19,Among Us,Social Deduction,2,26.7K,12,47
8/1/19,Among Us,Social Deduction,3,57.9K,13,122
7/1/19,Among Us,Social Deduction,2,15.2K,11,32
6/1/19,Among Us,Social Deduction,1,1.2K,4,9
5/1/19,Among Us,Social Deduction,1,81,3,1
4/1/19,Among Us,Social Deduction,1,177,3,3
3/1/19,Among Us,Social Deduction,1,49,3,1
2/1/19,Among Us,Social Deduction,1,3,1,1
1/1/19,Among Us,Social Deduction,1,2.9K,2,308
12/1/18,Among Us,Social Deduction,1,1.9K,1,66
11/1/18,Among Us,Social Deduction,1,9.3K,3,1.6K
1/1/21,Call of Duty ,Shooter,108000,69.8M,424K,4.3K
12/1/20,Call of Duty ,Shooter,88500,65.7M,345K,3.3K
11/1/20,Call of Duty ,Shooter,69800,50.2M,247K,5.7K
10/1/20,Call of Duty ,Shooter,102000,56.4M,403K,8.7K
9/1/20,Call of Duty ,Shooter,103000,73.8M,364K,8.9K
8/1/20,Call of Duty ,Shooter,113000,84.2M,947K,9.1K
7/1/20,Call of Duty ,Shooter,118000,87.8M,359K,8.7K
6/1/20,Call of Duty ,Shooter,121000,86.5M,403K,7.5K
5/1/20,Call of Duty ,Shooter,123000,91.2M,354K,7.9K
4/1/20,Call of Duty ,Shooter,111000,79.7M,396K,7.7K
3/1/20,Call of Duty ,Shooter,130000,96.2M,521K,5.7K
2/1/20,Call of Duty ,Shooter,12900,8.98M,74.8K,1.4K
1/1/20,Call of Duty ,Shooter,12100,9.02M,85.7K,1.1K
12/1/19,Call of Duty ,Shooter,23800,17.7M,116K,1.3K
11/1/19,Call of Duty ,Shooter,37700,26.1M,140K,2.0K
10/1/19,Call of Duty ,Shooter,31100,21.9M,373K,1.0K
9/1/19,Call of Duty ,Shooter,16900,12.2M,293K,604
8/1/19,Call of Duty ,Shooter,4200,2.83M,387K,80
7/1/19,Call of Duty ,Shooter,733,174K,134K,1
6/1/19,Call of Duty ,Shooter,6,1.5K,1.1K,1
5/1/19,Call of Duty ,Shooter,128,8.1K,7.4K,3
1/1/21,Counter Strike Global Offensive,Tactical Shooter,79300,51.3M,593K,2.2K
12/1/20,Counter Strike Global Offensive,Tactical Shooter,81500,60.5M,390K,1.9K
11/1/20,Counter Strike Global Offensive,Tactical Shooter,84500,60.8M,552K,1.8K
10/1/20,Counter Strike Global Offensive,Tactical Shooter,77500,42.8M,439K,1.5K
9/1/20,Counter Strike Global Offensive,Tactical Shooter,74400,53.5M,311K,1.4K
8/1/20,Counter Strike Global Offensive,Tactical Shooter,64800,48.1M,324K,1.4K
7/1/20,Counter Strike Global Offensive,Tactical Shooter,56400,41.9M,198K,1.6K
6/1/20,Counter Strike Global Offensive,Tactical Shooter,106000,75.8M,500K,1.9K
5/1/20,Counter Strike Global Offensive,Tactical Shooter,103000,76.7M,377K,2.4K
4/1/20,Counter Strike Global Offensive,Tactical Shooter,121000,86.4M,570K,2.8K
3/1/20,Counter Strike Global Offensive,Tactical Shooter,90000,66.8M,829K,2.0K
2/1/20,Counter Strike Global Offensive,Tactical Shooter,71600,49.8M,615K,1.6K
1/1/20,Counter Strike Global Offensive,Tactical Shooter,45500,33.9M,257K,1.6K
12/1/19,Counter Strike Global Offensive,Tactical Shooter,54400,40.4M,344K,1.3K
11/1/19,Counter Strike Global Offensive,Tactical Shooter,49500,34.5M,299K,1.2K
10/1/19,Counter Strike Global Offensive,Tactical Shooter,60400,43.2M,382K,1.3K
9/1/19,Counter Strike Global Offensive,Tactical Shooter,63800,45.9M,660K,1.3K
8/1/19,Counter Strike Global Offensive,Tactical Shooter,62000,46.1M,518K,1.3K
7/1/19,Counter Strike Global Offensive,Tactical Shooter,54700,40.7M,434K,1.2K
6/1/19,Counter Strike Global Offensive,Tactical Shooter,41900,30.2M,350K,1.2K
5/1/19,Counter Strike Global Offensive,Tactical Shooter,39900,29.7M,233K,1.2K
4/1/19,Counter Strike Global Offensive,Tactical Shooter,42700,30.8M,311K,1.2K
3/1/19,Counter Strike Global Offensive,Tactical Shooter,47700,35.5M,832K,1.2K
2/1/19,Counter Strike Global Offensive,Tactical Shooter,70500,47.4M,515K,1.1K
1/1/19,Counter Strike Global Offensive,Tactical Shooter,41300,30.7M,195K,1.4K
12/1/18,Counter Strike Global Offensive,Tactical Shooter,34300,25.5M,273K,1.2K
11/1/18,Counter Strike Global Offensive,Tactical Shooter,37700,27.1M,298K,1.0K
10/1/18,Counter Strike Global Offensive,Tactical Shooter,32500,24.1M,220K,967
9/1/18,Counter Strike Global Offensive,Tactical Shooter,98300,70.7M,867K,977
8/1/18,Counter Strike Global Offensive,Tactical Shooter,29100,21.7M,187K,1.0K
7/1/18,Counter Strike Global Offensive,Tactical Shooter,36000,26.5M,237K,934
6/1/18,Counter Strike Global Offensive,Tactical Shooter,30400,21.9M,279K,834
5/1/18,Counter Strike Global Offensive,Tactical Shooter,35500,26.4M,225K,823
4/1/18,Counter Strike Global Offensive,Tactical Shooter,31900,22.9M,335K,920
3/1/18,Counter Strike Global Offensive,Tactical Shooter,37800,28.1M,504K,1.1K
2/1/18,Counter Strike Global Offensive,Tactical Shooter,55500,37.2M,373K,1.2K
1/1/18,Counter Strike Global Offensive,Tactical Shooter,93500,69.5M,1.30M,1.1K
12/1/17,Counter Strike Global Offensive,Tactical Shooter,25200,18.7M,229K,877
11/1/17,Counter Strike Global Offensive,Tactical Shooter,35800,25.8M,281K,798
10/1/17,Counter Strike Global Offensive,Tactical Shooter,38200,28.4M,575K,797
9/1/17,Counter Strike Global Offensive,Tactical Shooter,37900,27.3M,288K,774
8/1/17,Counter Strike Global Offensive,Tactical Shooter,27200,20.2M,207K,864
7/1/17,Counter Strike Global Offensive,Tactical Shooter,91400,67.8M,947K,840
6/1/17,Counter Strike Global Offensive,Tactical Shooter,30300,21.8M,275K,788
5/1/17,Counter Strike Global Offensive,Tactical Shooter,31800,23.1M,195K,833
4/1/17,Counter Strike Global Offensive,Tactical Shooter,50800,36.4M,417K,876
3/1/17,Counter Strike Global Offensive,Tactical Shooter,49600,36.8M,507K,944
2/1/17,Counter Strike Global Offensive,Tactical Shooter,60100,40.4M,461K,1.0K
1/1/17,Counter Strike Global Offensive,Tactical Shooter,97400,72.1M,1.15M,937
12/1/16,Counter Strike Global Offensive,Tactical Shooter,41100,30.5M,237K,800
1/1/21,Fortnite,Battle Royale,133000,86.3M,1000K,9.8K
12/1/20,Fortnite,Battle Royale,146000,108M,1.59M,9.7K
11/1/20,Fortnite,Battle Royale,115000,83.0M,498K,8.6K
10/1/20,Fortnite,Battle Royale,111000,61.5M,355K,7.6K
9/1/20,Fortnite,Battle Royale,108000,77.7M,271K,8.7K
8/1/20,Fortnite,Battle Royale,133000,98.8M,499K,10.7K
7/1/20,Fortnite,Battle Royale,142000,105M,327K,12.0K
6/1/20,Fortnite,Battle Royale,155000,111M,2.28M,13.4K
5/1/20,Fortnite,Battle Royale,165000,122M,625K,13.8K
4/1/20,Fortnite,Battle Royale,136000,97.1M,1.27M,10.3K
3/1/20,Fortnite,Battle Royale,89100,66.2M,289K,6.4K
2/1/20,Fortnite,Battle Royale,79700,55.3M,276K,5.7K
1/1/20,Fortnite,Battle Royale,72300,53.8M,619K,5.9K
12/1/19,Fortnite,Battle Royale,86400,64.1M,943K,5.2K
11/1/19,Fortnite,Battle Royale,81500,56.6M,414K,4.9K
10/1/19,Fortnite,Battle Royale,106000,75.3M,1.69M,5.3K
9/1/19,Fortnite,Battle Royale,83900,60.4M,335K,4.9K
8/1/19,Fortnite,Battle Royale,120000,89.0M,335K,7.3K
7/1/19,Fortnite,Battle Royale,122000,90.5M,1.29M,7.7K
6/1/19,Fortnite,Battle Royale,129000,92.8M,494K,8.0K
5/1/19,Fortnite,Battle Royale,144000,107M,642K,9.1K
4/1/19,Fortnite,Battle Royale,139000,100M,474K,10.5K
3/1/19,Fortnite,Battle Royale,136000,101M,429K,11.3K
2/1/19,Fortnite,Battle Royale,125000,84.0M,682K,10.8K
1/1/19,Fortnite,Battle Royale,170000,127M,762K,13.7K
12/1/18,Fortnite,Battle Royale,158000,118M,419K,12.1K
11/1/18,Fortnite,Battle Royale,153000,110M,1.06M,9.4K
10/1/18,Fortnite,Battle Royale,151000,112M,582K,8.9K
9/1/18,Fortnite,Battle Royale,147000,106M,729K,10.3K
8/1/18,Fortnite,Battle Royale,177000,131M,698K,11.0K
7/1/18,Fortnite,Battle Royale,205000,151M,835K,10.9K
6/1/18,Fortnite,Battle Royale,176000,127M,1.50M,9.4K
5/1/18,Fortnite,Battle Royale,194000,144M,581K,10.3K
4/1/18,Fortnite,Battle Royale,179000,128M,687K,10.2K
3/1/18,Fortnite,Battle Royale,159000,119M,840K,8.2K
2/1/18,Fortnite,Battle Royale,97600,65.4M,264K,5.1K
1/1/18,Fortnite,Battle Royale,61600,45.8M,194K,3.2K
12/1/17,Fortnite,Battle Royale,43800,32.6M,127K,2.0K
11/1/17,Fortnite,Battle Royale,32500,23.4M,154K,1.4K
10/1/17,Fortnite,Battle Royale,21700,23.9M,79.2K,1.3K
9/1/17,Fortnite,Battle Royale,6500,7.04M,78.4K,292
8/1/17,Fortnite,Battle Royale,1900,2.07M,14.6K,194
7/1/17,Fortnite,Battle Royale,12100,5.67M,76.1K,504
1/1/21,League of Legends ,MMO,224000,145M,699K,5.8K
12/1/20,League of Legends ,MMO,130000,96.2M,320K,4.4K
11/1/20,League of Legends ,MMO,168000,121M,345K,4.7K
10/1/20,League of Legends ,MMO,226000,125M,1.42M,4.5K
9/1/20,League of Legends ,MMO,187000,135M,795K,4.4K
8/1/20,League of Legends ,MMO,192000,142M,730K,4.4K
7/1/20,League of Legends ,MMO,182000,135M,505K,4.4K
6/1/20,League of Legends ,MMO,199000,143M,561K,4.2K
5/1/20,League of Legends ,MMO,172000,127M,507K,4.7K
4/1/20,League of Legends ,MMO,189000,135M,736K,4.8K
3/1/20,League of Legends ,MMO,166000,123M,430K,4.1K
2/1/20,League of Legends ,MMO,175000,121M,402K,3.7K
1/1/20,League of Legends ,MMO,134000,99.7M,348K,4.0K
12/1/19,League of Legends ,MMO,106000,78.5M,232K,3.1K
11/1/19,League of Legends ,MMO,132000,91.8M,1.74M,3.0K
10/1/19,League of Legends ,MMO,170000,121M,1.10M,3.0K
9/1/19,League of Legends ,MMO,108000,77.6M,654K,2.7K
8/1/19,League of Legends ,MMO,116000,86.1M,463K,2.7K
7/1/19,League of Legends ,MMO,91700,68.2M,275K,2.4K
6/1/19,League of Legends ,MMO,124000,89.1M,322K,2.8K
5/1/19,League of Legends ,MMO,138000,103M,816K,2.8K
4/1/19,League of Legends ,MMO,128000,92.4M,548K,2.7K
3/1/19,League of Legends ,MMO,146000,108M,377K,2.6K
2/1/19,League of Legends ,MMO,141000,95.0M,370K,2.6K
1/1/19,League of Legends ,MMO,133000,99.1M,400K,3.0K
12/1/18,League of Legends ,MMO,96800,72.0M,344K,2.4K
11/1/18,League of Legends ,MMO,117000,84.5M,1.13M,2.4K
10/1/18,League of Legends ,MMO,147000,109M,923K,2.2K
9/1/18,League of Legends ,MMO,106000,76.5M,424K,2.1K
8/1/18,League of Legends ,MMO,109000,81.2M,934K,2.0K
7/1/18,League of Legends ,MMO,102000,74.9M,232K,1.8K
6/1/18,League of Legends ,MMO,101000,72.4M,244K,1.8K
5/1/18,League of Legends ,MMO,110000,82.0M,511K,1.9K
4/1/18,League of Legends ,MMO,103000,74.1M,486K,2.0K
3/1/18,League of Legends ,MMO,119000,88.8M,364K,2.1K
2/1/18,League of Legends ,MMO,121000,81.0M,305K,2.3K
1/1/18,League of Legends ,MMO,120000,89.0M,440K,2.4K
12/1/17,League of Legends ,MMO,93500,69.6M,325K,1.9K
11/1/17,League of Legends ,MMO,115000,82.8M,1.09M,1.9K
10/1/17,League of Legends ,MMO,127000,94.6M,886K,1.8K
9/1/17,League of Legends ,MMO,103000,74.4M,376K,1.7K
8/1/17,League of Legends ,MMO,96700,71.8M,350K,1.7K
7/1/17,League of Legends ,MMO,114000,84.6M,326K,1.7K
6/1/17,League of Legends ,MMO,118000,84.6M,281K,1.6K
5/1/17,League of Legends ,MMO,118000,86.6M,648K,1.7K
4/1/17,League of Legends ,MMO,115000,82.5M,488K,1.6K
3/1/17,League of Legends ,MMO,122000,90.8M,326K,1.6K
2/1/17,League of Legends ,MMO,148000,99.3M,391K,1.8K
1/1/17,League of Legends ,MMO,134000,99.1M,378K,1.8K
12/1/16,League of Legends ,MMO,109000,81.0M,334K,1.7K
